Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,COFB.BR,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS
2000-02-09,1695364.0,1436533.0,922618.0,6264116.0,291723.0,4573714.0,3412322.0,23217.0,1317756.0,3733204.0,7766725.0,1984750.0,532361.0,164296.0,1696.0,237347.0,574300.0,19695872.0,2710682.0,4736667.0,1471854.0,11086715.0,11923900.0,3685000.0,12824.0,284345.0,3997290.0,13081.0,42198.0,2123670.0
2000-02-10,3384048.0,2626756.0,777137.0,6603083.0,83669.0,3617828.0,2275640.0,49656.0,1243300.0,2411929.0,6680893.0,3468828.0,334700.0,136781.0,4088.0,355983.0,157700.0,15103386.0,2862940.0,3998059.0,1051192.0,9221136.0,8975000.0,2898500.0,29098.0,129585.0,4170430.0,93183.0,36643.0,1466556.0
2000-02-11,5384768.0,1929689.0,1382502.0,8434601.0,188995.0,5987866.0,3778556.0,99429.0,1967931.0,4022272.0,8013551.0,1789878.0,796444.0,123774.0,1796.0,257763.0,351700.0,22695422.0,4938683.0,4418303.0,689612.0,11453917.0,5710000.0,2436500.0,188626.0,194908.0,4417490.0,27400.0,43593.0,3126346.0
2000-02-14,4443008.0,1597333.0,709285.0,4853388.0,79697.0,2983316.0,1095408.0,35448.0,1715562.0,3136618.0,5347899.0,1217348.0,354371.0,173737.0,2837.0,125751.0,254800.0,13717139.0,1914379.0,2694537.0,536988.0,5341941.0,14807500.0,2123000.0,11314.0,222468.0,5031290.0,17374.0,16182.0,1847668.0
2000-02-15,5700368.0,1374143.0,688237.0,6287352.0,107532.0,3644370.0,2183685.0,124647.0,1272913.0,3499887.0,4650915.0,1926844.0,285478.0,168103.0,15242.0,461226.0,282544.0,17176533.0,2164869.0,2865187.0,680344.0,7126090.0,15716800.0,2176500.0,16508.0,105868.0,4392300.0,32889.0,26752.0,1455788.0
2000-02-16,6474656.0,1810756.0,917107.0,11755140.0,72584.0,4771744.0,2081401.0,47550.0,2021924.0,4606717.0,6148576.0,3855116.0,349683.0,182927.0,313.0,292516.0,576100.0,13147860.0,4511333.0,3983782.0,1215426.0,10552723.0,14832500.0,2654500.0,83851.0,1204559.0,4746940.0,56784.0,19739.0,2668407.0
2000-02-17,3379488.0,2727200.0,1453951.0,8260679.0,29583.0,5374480.0,2360021.0,48564.0,1303587.0,3113694.0,18199513.0,3365962.0,239768.0,96753.0,272.0,276570.0,683400.0,10493284.0,2237458.0,5749973.0,456420.0,7071217.0,10800800.0,4750000.0,15885.0,1691629.0,6403320.0,21023.0,29349.0,2320883.0
2000-02-18,5357104.0,2658636.0,763122.0,9241462.0,60077.0,5644034.0,2721677.0,21420.0,6234132.0,2739522.0,7231765.0,3264364.0,267295.0,166025.0,11492.0,430412.0,573400.0,12717700.0,2893452.0,3172773.0,421536.0,7696196.0,4652600.0,8237000.0,10642.0,808118.0,6159340.0,30537.0,51754.0,2150047.0
2000-02-21,2767184.0,1640089.0,302671.0,5895305.0,48129.0,2155528.0,907452.0,25224.0,2973134.0,2077537.0,3894908.0,2423676.0,163760.0,95541.0,3896.0,192441.0,345900.0,8571758.0,1618699.0,3703338.0,376434.0,2420608.0,6581300.0,2310500.0,26701.0,389153.0,3138740.0,29992.0,9859.0,1308892.0
2000-02-22,2182960.0,2271467.0,636163.0,7015507.0,117786.0,3450000.0,2351117.0,31875.0,2684297.0,6217010.0,5930354.0,2587872.0,409848.0,220221.0,850.0,170903.0,172900.0,10065008.0,2157503.0,6184625.0,1027150.0,4743499.0,13246300.0,3828000.0,45565.0,477530.0,5965080.0,14534.0,10872.0,1494672.0
2000-02-23,2444560.0,1999823.0,411929.0,6691645.0,109991.0,3523542.0,1751200.0,47955.0,1734513.0,1663806.0,4931393.0,2564994.0,250522.0,167235.0,1525.0,462609.0,578401.0,9888420.0,2234083.0,3230346.0,388002.0,5024214.0,7344000.0,2579500.0,22521.0,516486.0,6024370.0,12184.0,15641.0,1361556.0
2000-02-24,3915056.0,1905333.0,443004.0,3790866.0,149149.0,2818076.0,1396945.0,25428.0,1357588.0,2633885.0,6504192.0,2790324.0,521553.0,195136.0,984.0,360328.0,130600.0,11912899.0,2596512.0,2513411.0,317190.0,6279781.0,8622600.0,1931500.0,13093.0,737231.0,5415960.0,32633.0,13193.0,2832056.0
2000-02-25,571084.0,2629067.0,363487.0,4275648.0,176236.0,2533538.0,1391780.0,57495.0,1432859.0,16930912.0,13686986.0,4707810.0,306823.0,201141.0,1478.0,370880.0,494100.0,21124704.0,3649464.0,2179224.0,480640.0,5680605.0,4451400.0,4276500.0,15740.0,429698.0,5782590.0,6480.0,19841.0,1654063.0
2000-02-28,5663504.0,1226400.0,448594.0,6136691.0,152376.0,3393016.0,1247524.0,139017.0,965135.0,3017671.0,7681418.0,3362946.0,253021.0,185696.0,541.0,129995.0,517200.0,18035535.0,3436325.0,1936501.0,356146.0,5626368.0,7971600.0,3370000.0,24553.0,128658.0,5855190.0,17814.0,17462.0,1362610.0
2000-02-29,5803664.0,2642133.0,289138.0,7087296.0,196316.0,3165144.0,1732620.0,101286.0,925821.0,5879345.0,7092649.0,4689362.0,1585282.0,466019.0,1777.0,118968.0,464700.0,15163888.0,4008409.0,1418264.0,427232.0,3413293.0,7572700.0,3879500.0,30072.0,295873.0,5741230.0,19062.0,29564.0,1439400.0
2000-03-01,3322672.0,4664178.0,658385.0,16655357.0,143617.0,5935130.0,3097061.0,183357.0,1452926.0,9535839.0,4476013.0,1932456.0,892821.0,358223.0,1079.0,81361.0,521500.0,14282651.0,4011217.0,2493736.0,578430.0,6043195.0,13760400.0,3367500.0,37980.0,320385.0,3248520.0,400672.0,34742.0,2544102.0
2000-03-02,8995840.0,2405512.0,477406.0,7627829.0,85210.0,3471236.0,2220955.0,75960.0,1201261.0,3603506.0,4865164.0,1370632.0,575406.0,99379.0,211.0,111167.0,286000.0,12862120.0,3341125.0,2479582.0,276528.0,8499169.0,13321800.0,3469500.0,52724.0,549611.0,4097060.0,12502.0,26962.0,2989350.0
2000-03-03,7313136.0,2003733.0,600932.0,9152043.0,103204.0,2600134.0,1813243.0,145272.0,965563.0,5150942.0,12559746.0,976322.0,406388.0,126931.0,147.0,155001.0,476600.0,15719350.0,2948107.0,2317770.0,272444.0,9163242.0,18994900.0,4731000.0,13017.0,403198.0,3767060.0,9840.0,18465.0,1793021.0
2000-03-06,4885584.0,1353156.0,309346.0,11081635.0,73713.0,3349786.0,1230289.0,44370.0,941155.0,2019258.0,11654701.0,1160918.0,415670.0,507895.0,850.0,124242.0,269762.0,11577058.0,1253672.0,1381933.0,327688.0,4260463.0,5706700.0,7053500.0,16385.0,257183.0,8685820.0,8390.0,8197.0,1352076.0
2000-03-07,2128992.0,1208654.0,1618706.0,7342357.0,77281.0,3693850.0,1856837.0,29889.0,1126066.0,6098283.0,16058878.0,1491188.0,341986.0,316570.0,656.0,161259.0,266927.0,19507685.0,2405787.0,11287103.0,181392.0,5114895.0,8698600.0,4726500.0,12407.0,221010.0,8522690.0,13780.0,12704.0,789728.0
2000-03-08,768724.0,894400.0,1839230.0,7327529.0,119329.0,3783566.0,1992119.0,51300.0,1344057.0,10987965.0,6276112.0,1181982.0,680966.0,225084.0,3914.0,124157.0,163600.0,12454711.0,3794965.0,6748125.0,390306.0,7298800.0,7804700.0,2384500.0,32135.0,272950.0,3815900.0,9412.0,7586.0,2941952.0
2000-03-09,4862176.0,2051467.0,1366365.0,4750368.0,90738.0,3569482.0,1850784.0,12900.0,1129814.0,4335656.0,7706125.0,919094.0,658120.0,158560.0,534.0,327882.0,1108600.0,12272807.0,3231421.0,14225548.0,233300.0,6175164.0,12789700.0,2583000.0,20312.0,158868.0,3665530.0,11604.0,14968.0,1927375.0
2000-03-10,3906336.0,1950756.0,632488.0,19168912.0,149951.0,2546618.0,2478067.0,17472.0,830035.0,8340854.0,5503663.0,1307200.0,644371.0,223949.0,476.0,602654.0,360300.0,8208133.0,2130571.0,13957507.0,170320.0,4271230.0,8001400.0,3313500.0,27048.0,203255.0,3831300.0,106965.0,17745.0,1726908.0
2000-03-13,3200880.0,1687741.0,925037.0,10508761.0,856647.0,3576296.0,1231230.0,53301.0,944391.0,3939781.0,5008410.0,761934.0,387831.0,128890.0,222.0,314060.0,236371.0,10108758.0,0.0,0.0,328268.0,0.0,7795600.0,0.0,26709.0,0.0,5944730.0,11283.0,19990.0,1387483.0
2000-03-14,2836704.0,2056533.0,513315.0,7403753.0,396243.0,5693460.0,1441687.0,37692.0,1462036.0,6560745.0,4570806.0,1379714.0,596313.0,120915.0,305.0,339061.0,376700.0,11059496.0,2651245.0,4790426.0,378450.0,4932042.0,7404400.0,3894000.0,14442.0,517413.0,2657050.0,2833.0,24370.0,614027.0
2000-03-15,3182352.0,1578036.0,419897.0,9122383.0,224644.0,3916454.0,1485686.0,15300.0,10337143.0,5895809.0,7531814.0,4209284.0,395445.0,150259.0,1247.0,619850.0,276734.0,10668638.0,1947691.0,3512464.0,467490.0,5873607.0,12302800.0,3199500.0,15464.0,463088.0,3691710.0,17027.0,9589.0,2130062.0
2000-03-16,9444464.0,2631911.0,771736.0,16465924.0,184649.0,4706974.0,4476608.0,118065.0,9502690.0,12717035.0,6832522.0,2357944.0,625431.0,281658.0,249.0,399313.0,556618.0,33758169.0,4659336.0,3937077.0,480854.0,8523947.0,12031200.0,5259500.0,49142.0,342778.0,6448090.0,88647.0,23806.0,3053020.0
2000-03-17,28764896.0,2321940.0,8198313.0,12250361.0,220705.0,50860560.0,31412184.0,35187.0,28719542.0,7646770.0,10231118.0,1722668.0,764479.0,136202.0,4517.0,954386.0,481400.0,33344876.0,38739412.0,32515451.0,494392.0,109725968.0,11793300.0,5525500.0,35791.0,333768.0,8581540.0,449791.0,37464.0,2330587.0
2000-03-20,1966688.0,1083911.0,381371.0,5064368.0,111408.0,5332800.0,1445044.0,10317.0,3251350.0,3931777.0,3046581.0,793424.0,292351.0,112307.0,494.0,192668.0,465500.0,12445411.0,2541051.0,3194924.0,276924.0,5763449.0,9802000.0,2507000.0,15578.0,91611.0,4091120.0,31467.0,11124.0,1098910.0
2000-03-21,1528800.0,1858855.0,283902.0,11020632.0,135057.0,5705978.0,1729498.0,173901.0,3723320.0,7625185.0,5345078.0,1905414.0,271307.0,184353.0,541.0,130751.0,325700.0,18421944.0,3009372.0,2715251.0,364106.0,4844867.0,14868200.0,3300500.0,52498.0,127863.0,5503410.0,32379.0,36213.0,2478715.0
2000-03-22,2636336.0,2209244.0,424586.0,9870591.0,194842.0,6519602.0,1578843.0,50670.0,3869253.0,10807093.0,7108473.0,1897746.0,397819.0,101570.0,1774.0,353942.0,308500.0,37511569.0,4891969.0,3857249.0,380192.0,5152000.0,27753400.0,2706000.0,21027.0,173496.0,8352630.0,44413.0,60320.0,5187793.0
2000-03-23,1867024.0,1253287.0,376016.0,6165803.0,193912.0,4485032.0,1465826.0,56781.0,3211178.0,4594712.0,4966379.0,1301284.0,377465.0,195597.0,1130.0,177161.0,261900.0,34746141.0,3160823.0,3291093.0,366148.0,4799491.0,12132600.0,3366500.0,15538.0,40598.0,5426520.0,8529.0,9308.0,1391701.0
2000-03-24,1949728.0,1425956.0,374969.0,12528879.0,103411.0,4569272.0,1704448.0,179661.0,1974191.0,4519071.0,5294494.0,1766030.0,323967.0,448446.0,732.0,112191.0,89400.0,29084248.0,4238362.0,2987735.0,352468.0,4688106.0,21578500.0,8908000.0,14420.0,137323.0,6442810.0,24229.0,31614.0,3396021.0
2000-03-27,3028864.0,1356267.0,243601.0,5290465.0,216240.0,3680956.0,1761626.0,226092.0,990243.0,4133369.0,3465864.0,1401542.0,191364.0,139469.0,2116.0,222645.0,276000.0,9699466.0,2904442.0,1782828.0,171450.0,2542923.0,11008500.0,1589500.0,9962.0,75393.0,2468620.0,7650.0,6086.0,926678.0
2000-03-28,2679120.0,1802222.0,384521.0,4408340.0,275364.0,4383012.0,2784485.0,210300.0,1596984.0,3964808.0,6581872.0,1753098.0,241406.0,231218.0,1408.0,348419.0,235100.0,16496651.0,4178980.0,2834872.0,325268.0,5987905.0,6680000.0,1808500.0,16006.0,52523.0,2370830.0,27085.0,29186.0,955658.0
2000-03-29,3660512.0,1375556.0,365877.0,5908204.0,179949.0,4214434.0,3556250.0,112947.0,2529616.0,2292049.0,4443468.0,2168582.0,260051.0,421398.0,1352.0,85551.0,288500.0,9950188.0,2049851.0,2567487.0,205308.0,4502228.0,7859400.0,1733000.0,20805.0,118985.0,3300220.0,5954.0,32307.0,3644977.0
2000-03-30,4890448.0,1323733.0,486212.0,20742837.0,190192.0,2380518.0,2497881.0,90786.0,2297532.0,4263101.0,9261298.0,2712356.0,599620.0,265169.0,12277.0,209834.0,201700.0,24091803.0,2300399.0,3288154.0,336074.0,6232698.0,10801300.0,3581500.0,21611.0,114348.0,3734390.0,58280.0,27010.0,3080547.0
2000-03-31,2605504.0,2120711.0,543053.0,18276492.0,206844.0,2586822.0,1782330.0,61302.0,1885953.0,8183975.0,6062008.0,9469934.0,440712.0,240683.0,4733.0,107297.0,181000.0,25103109.0,1599700.0,2526744.0,497306.0,5896805.0,6796500.0,3212000.0,9670.0,107060.0,3331130.0,30015.0,12159.0,1529228.0
2000-04-03,2012800.0,1539911.0,478437.0,9444966.0,120873.0,3454496.0,1317964.0,227682.0,1113106.0,4313596.0,9633821.0,4865784.0,412369.0,90991.0,2428.0,145929.0,214165.0,20179266.0,2084580.0,4773056.0,483838.0,7688516.0,14249900.0,1971500.0,32350.0,218811.0,3695010.0,43592.0,40968.0,1972122.0
2000-04-04,415360.0,4804984.0,815278.0,14498967.0,258810.0,2935622.0,1838381.0,88650.0,1285400.0,7461033.0,17506445.0,3590134.0,456045.0,335167.0,3957.0,372866.0,178400.0,56933651.0,2670477.0,4738393.0,786222.0,5903678.0,23448700.0,2502000.0,72233.0,146333.0,13940080.0,7396.0,49262.0,2352693.0
2000-04-05,2532016.0,2592978.0,2086638.0,18763769.0,249188.0,5299600.0,2951470.0,129510.0,1500047.0,10534608.0,9487673.0,4382226.0,983025.0,210025.0,3599.0,319089.0,101400.0,33172222.0,3072031.0,13200085.0,545814.0,7645191.0,15965800.0,3680500.0,68221.0,195703.0,6518710.0,2813.0,56891.0,2265348.0
2000-04-06,2427792.0,2472089.0,1451190.0,12273572.0,335631.0,3292982.0,2195313.0,50532.0,1011360.0,3411817.0,5847929.0,2047210.0,504778.0,171368.0,79.0,351627.0,320500.0,15261473.0,2234334.0,7496254.0,616732.0,6015859.0,12285600.0,2124000.0,36943.0,290228.0,4920850.0,2999.0,30250.0,1473628.0
2000-04-07,1592464.0,2514756.0,721537.0,15146247.0,180409.0,3147864.0,1659890.0,47145.0,2126004.0,3009837.0,3441160.0,1909264.0,333076.0,229548.0,1051.0,838125.0,132900.0,16489167.0,2055449.0,3157908.0,474740.0,4653356.0,10169900.0,1834000.0,54841.0,73326.0,3322550.0,7488.0,22769.0,2355390.0
2000-04-10,1630576.0,2304021.0,484115.0,7684454.0,128773.0,2418582.0,1664332.0,28176.0,1429945.0,4298030.0,3868199.0,1591912.0,234755.0,118627.0,1065.0,793861.0,81300.0,16968095.0,1897203.0,2405679.0,323962.0,4418857.0,5180800.0,1752500.0,26445.0,104410.0,4232030.0,32608.0,27240.0,1037745.0
2000-04-11,2087856.0,2694876.0,518191.0,9549951.0,142334.0,3144280.0,1232853.0,61125.0,751425.0,3270487.0,7451373.0,1459281.0,467538.0,114802.0,2010.0,363269.0,155200.0,22621387.0,1752651.0,2301551.0,265348.0,5847085.0,8870500.0,1468000.0,46615.0,51808.0,4061420.0,36974.0,30884.0,1621092.0
2000-04-12,7497408.0,5093260.0,473022.0,6723110.0,98206.0,2976542.0,1369074.0,17928.0,1135671.0,3124342.0,4626167.0,2000898.0,655556.0,222479.0,1134.0,405163.0,224800.0,19020224.0,1815154.0,1634752.0,353160.0,5859322.0,8190500.0,1770500.0,21963.0,72266.0,6020410.0,9490.0,41527.0,2844333.0
2000-04-13,5050400.0,3059289.0,405235.0,14043576.0,186398.0,2870928.0,2729250.0,99339.0,1139455.0,9675490.0,8373750.0,1796666.0,525506.0,162087.0,598.0,186190.0,170490.0,15283090.0,1938723.0,1779634.0,305876.0,5631336.0,18732700.0,1600500.0,24946.0,160246.0,9296980.0,9306.0,38537.0,1779575.0
2000-04-14,4916512.0,3227467.0,679683.0,13939675.0,180041.0,2972732.0,1333777.0,75822.0,1440965.0,5588954.0,7773054.0,1696105.0,957381.0,201040.0,1937.0,92237.0,347400.0,25872210.0,1986717.0,2825162.0,165438.0,7201462.0,15216400.0,2684500.0,33386.0,190403.0,6332480.0,36462.0,33992.0,2494836.0
